event-id,visible,timestamp,location-long,location-lat,behavioural-classification,comments,lat-lower,lat-upper,long-lower,long-upper,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
16890709982,true,2016-10-04 19:48:55.000,7.29281767955801,47.25,"stationary","migration",47.25,47.25,7.29281767955801,7.29281767955801,"solar-geolocator","Apus melba","16QJ","F53194","Switzerland Biel - Long term study on migratory movement of Alpine swifts (Apus melba)"
16890709914,true,2016-10-05 07:31:18.000,-2.54416961130747,45.0,"movement","migration",34.65,49.95,-4.08317580340264,-0.63157894736842,"solar-geolocator","Apus melba","16QJ","F53194","Switzerland Biel - Long term study on migratory movement of Alpine swifts (Apus melba)"
16890709913,true,2016-10-05 20:06:55.000,-2.56684491978608,45.0,"stationary","migration",34.65,49.95,-4.08317580340264,-0.652173913043503,"solar-geolocator","Apus melba","16QJ","F53194","Switzerland Biel - Long term study on migratory movement of Alpine swifts (Apus melba)"
16890709911,true,2016-10-06 07:41:19.000,-2.62773722627737,45.0,"stationary","migration",34.65,49.95,-4.08317580340264,-0.662983425414391,"solar-geolocator","Apus melba","16QJ","F53194","Switzerland Biel - Long term study on migratory movement of Alpine swifts (Apus melba)"
16890709910,true,2016-10-06 20:06:57.000,-2.69662921348318,45.0,"stationary","migration",34.65,49.95,-4.25675675675675,-0.662983425414391,"solar-geolocator","Apus melba","16QJ","F53194","Switzerland Biel - Long term study on migratory movement of Alpine swifts (Apus melba)"
16890709909,true,2016-10-07 07:41:20.000,-2.7355623100304,45.0,"stationary","migration",34.65,49.95,-4.35233160621762,-0.662983425414391,"solar-geolocator","Apus melba","16QJ","F53194","Switzerland Biel - Long term study on migratory movement of Alpine swifts (Apus melba)"
16890709907,true,2016-10-07 20:22:57.000,-2.99999999999998,44.55,"movement","migration",34.2,49.95,-7.20000000000002,-0.662983425414391,"solar-geolocator","Apus melba","16QJ","F53194","Switzerland Biel - Long term study on migratory movement of Alpine swifts (Apus melba)"
16890709904,true,2016-10-08 07:59:20.000,-3.31491712707185,44.1,"movement","migration",27.0,49.95,-7.91788856304986,-1.73076923076926,"solar-geolocator","Apus melba","16QJ","F53194","Switzerland Biel - Long term study on migratory movement of Alpine swifts (Apus melba)"
16890709900,true,2016-10-08 20:20:58.000,-3.46153846153846,44.1,"stationary","migration",27.0,49.95,-8.90262751159197,-1.73076923076926,"solar-geolocator","Apus melba","16QJ","F53194","Switzerland Biel - Long term study on migratory movement of Alpine swifts (Apus melba)"
16890709845,true,2016-10-09 07:57:21.000,-7.05882352941181,40.05,"movement","migration",26.55,49.5,-10.125,-2.07692307692307,"solar-geolocator","Apus melba","16QJ","F53194","Switzerland Biel - Long term study on migratory movement of Alpine swifts (Apus melba)"
16890708600,true,2016-10-09 20:36:58.000,-9.32374100719426,36.0,"movement","migration",26.1,46.35,-11.25,-6.06741573033711,"solar-geolocator","Apus melba","16QJ","F53194","Switzerland Biel - Long term study on migratory movement of Alpine swifts (Apus melba)"
16890708599,true,2016-10-10 08:09:22.000,-9.34351145038166,36.0,"stationary","migration",26.1,45.0,-11.25,-7.15231788079473,"solar-geolocator","Apus melba","16QJ","F53194","Switzerland Biel - Long term study on migratory movement of Alpine swifts (Apus melba)"
