event-id,visible,timestamp,location-long,location-lat,behavioural-classification,comments,lat-lower,lat-upper,long-lower,long-upper,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
16890711608,true,2016-09-28 20:07:48.000,6.52173913043478,46.35,"movement","migration",33.75,46.35,1.10599078341014,6.52173913043478,"solar-geolocator","Apus melba","18CL","F65490","Switzerland Lausanne - Long term study on migratory movement of Alpine swifts (Apus melba)"
16890711592,true,2016-09-29 07:14:11.000,-1.89473684210528,39.15,"movement","migration",31.05,48.6,-4.32246998284734,6.52173913043478,"solar-geolocator","Apus melba","18CL","F65490","Switzerland Lausanne - Long term study on migratory movement of Alpine swifts (Apus melba)"
16890711590,true,2016-09-29 20:33:48.000,-4.19417475728154,37.35,"movement","migration",20.25,49.05,-7.73638968481377,-1.67701863354041,"solar-geolocator","Apus melba","18CL","F65490","Switzerland Lausanne - Long term study on migratory movement of Alpine swifts (Apus melba)"
16890711585,true,2016-09-30 07:42:11.000,-4.5827439886846,36.0,"stationary","migration",20.25,46.8,-7.73638968481377,-3.55263157894735,"solar-geolocator","Apus melba","18CL","F65490","Switzerland Lausanne - Long term study on migratory movement of Alpine swifts (Apus melba)"
16890711583,true,2016-09-30 20:43:48.000,-4.80000000000002,35.1,"stationary","migration",20.25,46.8,-7.73638968481377,-3.78947368421055,"solar-geolocator","Apus melba","18CL","F65490","Switzerland Lausanne - Long term study on migratory movement of Alpine swifts (Apus melba)"
16890711586,true,2016-10-01 07:42:11.000,-4.5827439886846,34.2,"movement","migration",18.0,44.1,-6.93259972489687,-3.78449408672802,"solar-geolocator","Apus melba","18CL","F65490","Switzerland Lausanne - Long term study on migratory movement of Alpine swifts (Apus melba)"
16890711587,true,2016-10-01 20:37:48.000,-4.5827439886846,32.85,"stationary","migration",18.0,44.1,-6.93259972489687,-3.78449408672802,"solar-geolocator","Apus melba","18CL","F65490","Switzerland Lausanne - Long term study on migratory movement of Alpine swifts (Apus melba)"
16890711589,true,2016-10-02 07:46:11.000,-4.52830188679245,32.85,"stationary","migration",18.0,44.1,-6.93259972489687,-3.78449408672802,"solar-geolocator","Apus melba","18CL","F65490","Switzerland Lausanne - Long term study on migratory movement of Alpine swifts (Apus melba)"
16890711588,true,2016-10-02 20:37:48.000,-4.56338028169014,31.95,"stationary","migration",18.0,44.1,-6.93259972489687,-3.78449408672802,"solar-geolocator","Apus melba","18CL","F65490","Switzerland Lausanne - Long term study on migratory movement of Alpine swifts (Apus melba)"
16890711584,true,2016-10-03 07:50:11.000,-4.75073313782992,31.5,"stationary","migration",18.0,44.1,-9.58721704394141,-3.78449408672802,"solar-geolocator","Apus melba","18CL","F65490","Switzerland Lausanne - Long term study on migratory movement of Alpine swifts (Apus melba)"
