event-id,visible,timestamp,location-long,location-lat,behavioural-classification,comments,lat-lower,lat-upper,long-lower,long-upper,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
16877933025,true,2016-09-09 20:34:15.000,8.61878453038674,47.25,"movement","migration",30.15,47.25,0.0,8.61878453038674,"solar-geolocator","Apus melba","16OR","F66528","Switzerland Luzern - Long term study on migratory movement of Alpine swifts (Apus melba)"
16877932805,true,2016-09-10 06:56:38.000,2.08092485549133,38.25,"movement","migration",30.15,45.45,-1.1688311688312,6.22641509433962,"solar-geolocator","Apus melba","16OR","F66528","Switzerland Luzern - Long term study on migratory movement of Alpine swifts (Apus melba)"
16877932806,true,2016-09-10 20:32:15.000,2.08092485549133,38.25,"stationary","migration",30.15,45.45,-1.1688311688312,6.22641509433962,"solar-geolocator","Apus melba","16OR","F66528","Switzerland Luzern - Long term study on migratory movement of Alpine swifts (Apus melba)"
16877931994,true,2016-09-11 07:06:38.000,-1.03151862464185,37.35,"movement","migration",30.15,42.3,-2.27848101265825,2.70676691729323,"solar-geolocator","Apus melba","16OR","F66528","Switzerland Luzern - Long term study on migratory movement of Alpine swifts (Apus melba)"
16877931985,true,2016-09-11 20:50:16.000,-1.11801242236023,37.8,"stationary","migration",30.15,42.3,-2.35294117647058,2.70676691729323,"solar-geolocator","Apus melba","16OR","F66528","Switzerland Luzern - Long term study on migratory movement of Alpine swifts (Apus melba)"
16877931986,true,2016-09-12 07:12:39.000,-1.11801242236023,37.8,"stationary","migration",30.15,42.3,-2.35294117647058,2.08092485549133,"solar-geolocator","Apus melba","16OR","F66528","Switzerland Luzern - Long term study on migratory movement of Alpine swifts (Apus melba)"
16877931987,true,2016-09-12 20:46:16.000,-1.11801242236023,37.35,"stationary","migration",30.15,41.85,-2.29299363057329,2.08092485549133,"solar-geolocator","Apus melba","16OR","F66528","Switzerland Luzern - Long term study on migratory movement of Alpine swifts (Apus melba)"
16877931988,true,2016-09-13 07:16:39.000,-1.11801242236023,37.35,"stationary","migration",30.15,41.4,-2.29299363057329,2.08092485549133,"solar-geolocator","Apus melba","16OR","F66528","Switzerland Luzern - Long term study on migratory movement of Alpine swifts (Apus melba)"
16877931989,true,2016-09-13 20:38:16.000,-1.11801242236023,37.35,"movement","migration",33.3,41.4,-2.60115606936418,0.566037735849057,"solar-geolocator","Apus melba","16OR","F66528","Switzerland Luzern - Long term study on migratory movement of Alpine swifts (Apus melba)"
16877931990,true,2016-09-14 07:12:40.000,-1.11801242236023,37.35,"stationary","migration",33.3,41.4,-2.60115606936418,0.566037735849057,"solar-geolocator","Apus melba","16OR","F66528","Switzerland Luzern - Long term study on migratory movement of Alpine swifts (Apus melba)"
16877931991,true,2016-09-14 20:42:17.000,-1.11801242236023,37.35,"stationary","migration",33.3,41.4,-3.33848531684701,0.0,"solar-geolocator","Apus melba","16OR","F66528","Switzerland Luzern - Long term study on migratory movement of Alpine swifts (Apus melba)"
16877931992,true,2016-09-15 07:22:40.000,-1.11801242236023,36.9,"stationary","migration",33.3,41.4,-3.33848531684701,0.0,"solar-geolocator","Apus melba","16OR","F66528","Switzerland Luzern - Long term study on migratory movement of Alpine swifts (Apus melba)"
16877931993,true,2016-09-15 20:42:17.000,-1.11801242236023,36.9,"stationary","migration",33.3,41.4,-3.33848531684701,0.0,"solar-geolocator","Apus melba","16OR","F66528","Switzerland Luzern - Long term study on migratory movement of Alpine swifts (Apus melba)"
16877931983,true,2016-09-16 07:20:40.000,-1.70886075949369,37.8,"movement","migration",33.3,44.55,-5.05263157894741,0.0,"solar-geolocator","Apus melba","16OR","F66528","Switzerland Luzern - Long term study on migratory movement of Alpine swifts (Apus melba)"
16877931984,true,2016-09-16 20:42:18.000,-1.70886075949369,36.45,"movement","migration",27.9,41.4,-4.07355021216407,0.0,"solar-geolocator","Apus melba","16OR","F66528","Switzerland Luzern - Long term study on migratory movement of Alpine swifts (Apus melba)"
16877931981,true,2016-09-17 07:26:41.000,-1.71974522292996,36.0,"stationary","migration",27.9,41.4,-4.58598726114651,0.0,"solar-geolocator","Apus melba","16OR","F66528","Switzerland Luzern - Long term study on migratory movement of Alpine swifts (Apus melba)"
16877931945,true,2016-09-17 20:44:18.000,-3.35403726708076,28.35,"movement","migration",23.85,40.5,-5.40983606557377,0.0,"solar-geolocator","Apus melba","16OR","F66528","Switzerland Luzern - Long term study on migratory movement of Alpine swifts (Apus melba)"
16877931901,true,2016-09-18 07:32:41.000,-4.07355021216407,27.9,"movement","migration",23.85,39.6,-5.91928251121077,-2.152466367713,"solar-geolocator","Apus melba","16OR","F66528","Switzerland Luzern - Long term study on migratory movement of Alpine swifts (Apus melba)"
16877931902,true,2016-09-18 20:54:18.000,-4.07355021216407,27.9,"stationary","migration",23.85,39.15,-5.91928251121077,-2.152466367713,"solar-geolocator","Apus melba","16OR","F66528","Switzerland Luzern - Long term study on migratory movement of Alpine swifts (Apus melba)"
16877931903,true,2016-09-19 07:40:41.000,-4.07355021216407,27.9,"stationary","migration",23.85,39.15,-5.91928251121077,-2.152466367713,"solar-geolocator","Apus melba","16OR","F66528","Switzerland Luzern - Long term study on migratory movement of Alpine swifts (Apus melba)"
16877931904,true,2016-09-19 20:44:19.000,-4.07355021216407,27.9,"stationary","migration",23.85,39.15,-5.91928251121077,-2.152466367713,"solar-geolocator","Apus melba","16OR","F66528","Switzerland Luzern - Long term study on migratory movement of Alpine swifts (Apus melba)"
16877931905,true,2016-09-20 07:44:42.000,-4.07355021216407,27.9,"stationary","migration",23.85,39.15,-5.91928251121077,-2.152466367713,"solar-geolocator","Apus melba","16OR","F66528","Switzerland Luzern - Long term study on migratory movement of Alpine swifts (Apus melba)"
16877930262,true,2016-09-20 20:58:19.000,-10.3529411764706,17.1,"movement","migration",15.3,36.0,-10.939226519337,-4.87218045112783,"solar-geolocator","Apus melba","16OR","F66528","Switzerland Luzern - Long term study on migratory movement of Alpine swifts (Apus melba)"
16877930263,true,2016-09-21 08:00:42.000,-10.3529411764706,17.1,"movement","migration",15.75,29.25,-11.1079943899018,-9.56962025316457,"solar-geolocator","Apus melba","16OR","F66528","Switzerland Luzern - Long term study on migratory movement of Alpine swifts (Apus melba)"
16877930264,true,2016-09-21 20:58:20.000,-10.3529411764706,17.1,"stationary","migration",15.75,28.8,-11.2347354138399,-9.83606557377054,"solar-geolocator","Apus melba","16OR","F66528","Switzerland Luzern - Long term study on migratory movement of Alpine swifts (Apus melba)"
16877930265,true,2016-09-22 08:14:43.000,-10.3529411764706,17.1,"stationary","non-breeding site",15.3,27.45,-11.7440401505647,-10.259067357513,"solar-geolocator","Apus melba","16OR","F66528","Switzerland Luzern - Long term study on migratory movement of Alpine swifts (Apus melba)"
16877930266,true,2016-09-22 21:08:20.000,-10.3529411764706,17.1,"stationary","non-breeding site",15.3,27.0,-11.7440401505647,-10.259067357513,"solar-geolocator","Apus melba","16OR","F66528","Switzerland Luzern - Long term study on migratory movement of Alpine swifts (Apus melba)"
16877930267,true,2016-09-23 08:18:43.000,-10.3529411764706,17.1,"stationary","non-breeding site",15.3,26.55,-11.7440401505647,-10.259067357513,"solar-geolocator","Apus melba","16OR","F66528","Switzerland Luzern - Long term study on migratory movement of Alpine swifts (Apus melba)"
16877930268,true,2016-09-23 21:04:20.000,-10.3529411764706,17.1,"stationary","non-breeding site",15.3,26.1,-11.3114754098361,-10.259067357513,"solar-geolocator","Apus melba","16OR","F66528","Switzerland Luzern - Long term study on migratory movement of Alpine swifts (Apus melba)"
16877930269,true,2016-09-24 08:10:44.000,-10.3529411764706,17.1,"stationary","non-breeding site",15.3,25.2,-11.0306406685237,-10.259067357513,"solar-geolocator","Apus melba","16OR","F66528","Switzerland Luzern - Long term study on migratory movement of Alpine swifts (Apus melba)"
16877930270,true,2016-09-24 20:56:21.000,-10.3529411764706,17.1,"stationary","non-breeding site",15.3,24.75,-10.8776978417266,-10.259067357513,"solar-geolocator","Apus melba","16OR","F66528","Switzerland Luzern - Long term study on migratory movement of Alpine swifts (Apus melba)"
16877930271,true,2016-09-25 08:10:44.000,-10.3529411764706,17.1,"stationary","non-breeding site",15.3,23.85,-10.8093994778068,-10.259067357513,"solar-geolocator","Apus melba","16OR","F66528","Switzerland Luzern - Long term study on migratory movement of Alpine swifts (Apus melba)"
16877930272,true,2016-09-25 20:54:21.000,-10.3529411764706,17.1,"stationary","non-breeding site",15.3,22.5,-10.78125,-10.2457956015524,"solar-geolocator","Apus melba","16OR","F66528","Switzerland Luzern - Long term study on migratory movement of Alpine swifts (Apus melba)"
16877930344,true,2016-09-26 08:16:44.000,-10.3394255874674,16.65,"stationary","non-breeding site",14.85,22.95,-10.78125,-10.2457956015524,"solar-geolocator","Apus melba","16OR","F66528","Switzerland Luzern - Long term study on migratory movement of Alpine swifts (Apus melba)"
16877930345,true,2016-09-26 20:56:22.000,-10.3394255874674,16.65,"stationary","non-breeding site",14.85,22.5,-10.7532467532468,-10.2457956015524,"solar-geolocator","Apus melba","16OR","F66528","Switzerland Luzern - Long term study on migratory movement of Alpine swifts (Apus melba)"
16877930348,true,2016-09-27 08:06:45.000,-10.3394255874674,16.65,"stationary","non-breeding site",14.85,22.5,-10.7253886010363,-10.2300405953992,"solar-geolocator","Apus melba","16OR","F66528","Switzerland Luzern - Long term study on migratory movement of Alpine swifts (Apus melba)"
16877930351,true,2016-09-27 20:52:23.000,-10.3394255874674,16.65,"stationary","non-breeding site",14.4,22.5,-10.7253886010363,-10.2193548387097,"solar-geolocator","Apus melba","16OR","F66528","Switzerland Luzern - Long term study on migratory movement of Alpine swifts (Apus melba)"
16877930354,true,2016-09-28 08:06:45.000,-10.3394255874674,16.65,"stationary","non-breeding site",14.4,22.05,-10.7253886010363,-10.2193548387097,"solar-geolocator","Apus melba","16OR","F66528","Switzerland Luzern - Long term study on migratory movement of Alpine swifts (Apus melba)"
16877930358,true,2016-09-28 20:50:22.000,-10.3394255874674,16.65,"stationary","non-breeding site",14.4,22.05,-10.7253886010363,-10.2193548387097,"solar-geolocator","Apus melba","16OR","F66528","Switzerland Luzern - Long term study on migratory movement of Alpine swifts (Apus melba)"
16877930362,true,2016-09-29 08:10:46.000,-10.3394255874674,16.65,"stationary","non-breeding site",14.4,21.6,-10.7253886010363,-10.2193548387097,"solar-geolocator","Apus melba","16OR","F66528","Switzerland Luzern - Long term study on migratory movement of Alpine swifts (Apus melba)"
16877930364,true,2016-09-29 20:54:23.000,-10.3394255874674,16.2,"stationary","non-breeding site",14.4,21.6,-10.7253886010363,-10.2193548387097,"solar-geolocator","Apus melba","16OR","F66528","Switzerland Luzern - Long term study on migratory movement of Alpine swifts (Apus melba)"
16877930459,true,2016-09-30 08:06:46.000,-10.3125,16.2,"stationary","non-breeding site",14.4,21.15,-10.7253886010363,-10.2193548387097,"solar-geolocator","Apus melba","16OR","F66528","Switzerland Luzern - Long term study on migratory movement of Alpine swifts (Apus melba)"
16877930461,true,2016-09-30 20:52:23.000,-10.3125,15.75,"stationary","non-breeding site",14.4,21.15,-10.7253886010363,-10.2193548387097,"solar-geolocator","Apus melba","16OR","F66528","Switzerland Luzern - Long term study on migratory movement of Alpine swifts (Apus melba)"
16877930479,true,2016-10-01 08:10:46.000,-10.2857142857143,15.75,"stationary","non-breeding site",14.4,20.7,-10.7253886010363,-10.2193548387097,"solar-geolocator","Apus melba","16OR","F66528","Switzerland Luzern - Long term study on migratory movement of Alpine swifts (Apus melba)"
16877930480,true,2016-10-01 20:56:24.000,-10.2857142857143,15.75,"stationary","non-breeding site",14.4,19.8,-10.7253886010363,-10.2193548387097,"solar-geolocator","Apus melba","16OR","F66528","Switzerland Luzern - Long term study on migratory movement of Alpine swifts (Apus melba)"
16877930481,true,2016-10-02 08:06:47.000,-10.2857142857143,15.75,"stationary","non-breeding site",13.95,19.8,-10.6882591093117,-10.2061855670104,"solar-geolocator","Apus melba","16OR","F66528","Switzerland Luzern - Long term study on migratory movement of Alpine swifts (Apus melba)"
16877930482,true,2016-10-02 20:54:24.000,-10.2857142857143,15.75,"stationary","non-breeding site",13.95,19.8,-10.6882591093117,-10.2061855670104,"solar-geolocator","Apus melba","16OR","F66528","Switzerland Luzern - Long term study on migratory movement of Alpine swifts (Apus melba)"
16877930483,true,2016-10-03 08:06:47.000,-10.2857142857143,15.75,"stationary","non-breeding site",13.95,19.8,-10.6882591093117,-10.2061855670104,"solar-geolocator","Apus melba","16OR","F66528","Switzerland Luzern - Long term study on migratory movement of Alpine swifts (Apus melba)"
16877930485,true,2016-10-03 20:50:24.000,-10.2857142857143,15.75,"stationary","non-breeding site",13.95,19.8,-10.7115135834411,-10.2061855670104,"solar-geolocator","Apus melba","16OR","F66528","Switzerland Luzern - Long term study on migratory movement of Alpine swifts (Apus melba)"
16877930487,true,2016-10-04 08:08:48.000,-10.2857142857143,15.75,"stationary","non-breeding site",13.95,19.8,-10.6838709677419,-10.2061855670104,"solar-geolocator","Apus melba","16OR","F66528","Switzerland Luzern - Long term study on migratory movement of Alpine swifts (Apus melba)"
16877930488,true,2016-10-04 20:50:25.000,-10.2857142857143,15.75,"stationary","non-breeding site",13.95,20.25,-10.7253886010363,-10.2061855670104,"solar-geolocator","Apus melba","16OR","F66528","Switzerland Luzern - Long term study on migratory movement of Alpine swifts (Apus melba)"
16877930490,true,2016-10-05 08:06:48.000,-10.2857142857143,15.75,"stationary","non-breeding site",13.95,19.8,-10.7115135834411,-10.2061855670104,"solar-geolocator","Apus melba","16OR","F66528","Switzerland Luzern - Long term study on migratory movement of Alpine swifts (Apus melba)"
16877930492,true,2016-10-05 20:42:26.000,-10.2857142857143,15.75,"stationary","non-breeding site",13.95,19.8,-10.7115135834411,-10.2061855670104,"solar-geolocator","Apus melba","16OR","F66528","Switzerland Luzern - Long term study on migratory movement of Alpine swifts (Apus melba)"
16877930495,true,2016-10-06 08:08:48.000,-10.2857142857143,15.75,"stationary","non-breeding site",13.95,19.8,-10.7115135834411,-10.2061855670104,"solar-geolocator","Apus melba","16OR","F66528","Switzerland Luzern - Long term study on migratory movement of Alpine swifts (Apus melba)"
16877930496,true,2016-10-06 20:48:27.000,-10.2857142857143,15.75,"stationary","non-breeding site",13.95,19.8,-10.7115135834411,-10.2061855670104,"solar-geolocator","Apus melba","16OR","F66528","Switzerland Luzern - Long term study on migratory movement of Alpine swifts (Apus melba)"
