bird_id,colony_id,colony_name,country,flyway,breeding_lat,breeding_lon,years_tracked,tag_type,data_source
CH_BAD_001,CH_BAD,Baden,Switzerland,western,47.14,8.31,2015,GDL3pam,synthetic (Meier et al. 2020 calibrated)
CH_BAD_002,CH_BAD,Baden,Switzerland,western,47.14,8.31,2016,GDL2v2,synthetic (Meier et al. 2020 calibrated)
CH_BAD_003,CH_BAD,Baden,Switzerland,western,47.14,8.31,"2014,2016",GDL1,synthetic (Meier et al. 2020 calibrated)
CH_BAD_004,CH_BAD,Baden,Switzerland,western,47.14,8.31,"2014,2015",GDL2v2,synthetic (Meier et al. 2020 calibrated)
CH_BAD_005,CH_BAD,Baden,Switzerland,western,47.14,8.31,"2015,2016",GDL2v2,synthetic (Meier et al. 2020 calibrated)
CH_BAD_006,CH_BAD,Baden,Switzerland,western,47.14,8.31,"2015,2016",GDL3pam,synthetic (Meier et al. 2020 calibrated)
CH_BAD_007,CH_BAD,Baden,Switzerland,western,47.14,8.31,"2014,2015",GDL2v2,synthetic (Meier et al. 2020 calibrated)
CH_BAD_008,CH_BAD,Baden,Switzerland,western,47.14,8.31,"2015,2016",GDL1,synthetic (Meier et al. 2020 calibrated)
CH_BAD_009,CH_BAD,Baden,Switzerland,western,47.14,8.31,"2014,2015",GDL1,synthetic (Meier et al. 2020 calibrated)
CH_BAD_010,CH_BAD,Baden,Switzerland,western,47.14,8.31,2014,GDL2v2,synthetic (Meier et al. 2020 calibrated)
CH_BAD_011,CH_BAD,Baden,Switzerland,western,47.14,8.31,2016,GDL2v2,synthetic (Meier et al. 2020 calibrated)
CH_BAD_012,CH_BAD,Baden,Switzerland,western,47.14,8.31,2014,GDL1,synthetic (Meier et al. 2020 calibrated)
CH_BAD_013,CH_BAD,Baden,Switzerland,western,47.14,8.31,2016,GDL3pam,synthetic (Meier et al. 2020 calibrated)
CH_BAD_014,CH_BAD,Baden,Switzerland,western,47.14,8.31,"2014,2016",GDL1,synthetic (Meier et al. 2020 calibrated)
CH_BAD_015,CH_BAD,Baden,Switzerland,western,47.14,8.31,2015,GDL3pam,synthetic (Meier et al. 2020 calibrated)
CH_BAD_016,CH_BAD,Baden,Switzerland,western,47.14,8.31,2016,GDL1,synthetic (Meier et al. 2020 calibrated)
CH_BAD_017,CH_BAD,Baden,Switzerland,western,47.14,8.31,"2014,2016",GDL3pam,synthetic (Meier et al. 2020 calibrated)
CH_BAD_018,CH_BAD,Baden,Switzerland,western,47.14,8.31,"2015,2016",GDL1,synthetic (Meier et al. 2020 calibrated)
CH_BAD_019,CH_BAD,Baden,Switzerland,western,47.14,8.31,2015,GDL2v2,synthetic (Meier et al. 2020 calibrated)
CH_BAD_020,CH_BAD,Baden,Switzerland,western,47.14,8.31,"2014,2015,2016",GDL1,synthetic (Meier et al. 2020 calibrated)
CH_BAD_021,CH_BAD,Baden,Switzerland,western,47.14,8.31,"2014,2016",GDL1,synthetic (Meier et al. 2020 calibrated)
CH_BAD_022,CH_BAD,Baden,Switzerland,western,47.14,8.31,2014,GDL3pam,synthetic (Meier et al. 2020 calibrated)
CH_BAD_023,CH_BAD,Baden,Switzerland,western,47.14,8.31,"2014,2015",GDL1,synthetic (Meier et al. 2020 calibrated)
CH_BAD_024,CH_BAD,Baden,Switzerland,western,47.14,8.31,2015,GDL3pam,synthetic (Meier et al. 2020 calibrated)
CH_BAD_025,CH_BAD,Baden,Switzerland,western,47.14,8.31,"2014,2015,2016",GDL3pam,synthetic (Meier et al. 2020 calibrated)
CH_BAD_026,CH_BAD,Baden,Switzerland,western,47.14,8.31,2015,GDL3pam,synthetic (Meier et al. 2020 calibrated)
CH_BAD_027,CH_BAD,Baden,Switzerland,western,47.14,8.31,"2014,2015,2016",GDL1,synthetic (Meier et al. 2020 calibrated)
CH_BAD_028,CH_BAD,Baden,Switzerland,western,47.14,8.31,"2014,2015",GDL3pam,synthetic (Meier et al. 2020 calibrated)
CH_BIE_001,CH_BIE,Biel,Switzerland,western,47.14,7.25,"2014,2015,2016",GDL1,synthetic (Meier et al. 2020 calibrated)
CH_BIE_002,CH_BIE,Biel,Switzerland,western,47.14,7.25,2016,GDL1,synthetic (Meier et al. 2020 calibrated)
CH_BIE_003,CH_BIE,Biel,Switzerland,western,47.14,7.25,2015,GDL1,synthetic (Meier et al. 2020 calibrated)
CH_BIE_004,CH_BIE,Biel,Switzerland,western,47.14,7.25,2015,GDL1,synthetic (Meier et al. 2020 calibrated)
CH_BIE_005,CH_BIE,Biel,Switzerland,western,47.14,7.25,2015,GDL1,synthetic (Meier et al. 2020 calibrated)
CH_BIE_006,CH_BIE,Biel,Switzerland,western,47.14,7.25,"2014,2016",GDL1,synthetic (Meier et al. 2020 calibrated)
CH_BIE_007,CH_BIE,Biel,Switzerland,western,47.14,7.25,"2014,2015",GDL2v2,synthetic (Meier et al. 2020 calibrated)
CH_BIE_008,CH_BIE,Biel,Switzerland,western,47.14,7.25,2014,GDL1,synthetic (Meier et al. 2020 calibrated)
CH_BIE_009,CH_BIE,Biel,Switzerland,western,47.14,7.25,2014,GDL3pam,synthetic (Meier et al. 2020 calibrated)
CH_BIE_010,CH_BIE,Biel,Switzerland,western,47.14,7.25,"2015,2016",GDL3pam,synthetic (Meier et al. 2020 calibrated)
